Cantidad Material: 8709
--------------------------------------------------------------------------------
|Material          |  Val.stk.valor.   |  Stock valorado   |    Cantidad SC    |
--------------------------------------------------------------------------------
|Total             | 7,226,638,763  COP| 1,466,348.000  ***|         0.000  ***|
|0000000011        |             0  COP|             0  UN |             0  UN |
|0000000022        |             0  COP|             0  UN |             0  UN |
|0000000033        |             0  COP|             0  UN |             0  UN |
|0000000044        |             0  COP|             0  UN |             0  UN |
|0000000088        |             0  COP|             0  UN |             0  UN |
|0000000099        |             0  COP|             0  UN |             0  UN |
|0000000103        |             0  COP|             0  UN |             0  UN |
|0000000125        |             0  COP|             0  UN |             0  UN |
|0000000136        |             0  COP|             0  UN |             0  UN |
|0000000158        |             0  COP|             0  UN |             0  UN |
|0000000169        |             0  COP|             0  UN |             0  UN |
|0000000170        |             0  COP|             0  UN |             0  UN |
|0000000181        |             0  COP|             0  UN |             0  UN |
|0000000192        |             0  COP|             0  UN |             0  UN |
|0000000206        |             0  COP|             0  UN |             0  UN |
|0000000217        |             0  COP|             0  UN |             0  UN |
|0000000228        |             0  COP|             0  UN |             0  UN |
|0000000239        |             0  COP|             0  UN |             0  UN |
|0000000240        |             0  COP|             0  UN |             0  UN |
|0000000251        |             0  COP|             0  UN |             0  UN |
|0000000262        |             0  COP|             0  UN |             0  UN |
|0000000273        |             0  COP|             0  UN |             0  UN |
|0000000413        |             0  COP|             0  UN |             0  UN |
|0000000424        |             0  COP|             0  UN |             0  UN |
|0000000435        |             0  COP|             0  UN |             0  UN |
|0000000446        |             0  COP|             0  UN |             0  UN |
|0000000457        |             0  COP|             0  UN |             0  UN |
|0000000468        |             0  COP|             0  UN |             0  UN |
|0000000479        |             0  COP|             0  UN |             0  UN |
|0000000480        |             0  COP|             0  UN |             0  UN |
|0000000491        |             0  COP|             0  UN |             0  UN |
|0000000505        |             0  COP|             0  UN |             0  UN |
|0000000527        |             0  COP|             0  UN |             0  UN |
|0000000538        |             0  COP|             0  UN |             0  UN |
|0000000549        |             0  COP|             0  UN |             0  UN |
|0000000550        |             0  COP|             0  UN |             0  UN |
|0000000561        |             0  COP|             0  UN |             0  UN |
|0000000572        |             0  COP|             0  UN |             0  UN |
|0000000583        |             0  COP|             0  UN |             0  UN |
|0000000594        |             0  COP|             0  UN |             0  UN |
|0000000608        |             0  COP|             0  UN |             0  UN |
|0000000619        |             0  COP|             0  UN |             0  UN |
|0000000620        |             0  COP|             0  UN |             0  UN |
|0000000745        |             0  COP|             0  UN |             0  UN |
|0000000756        |             0  COP|             0  UN |             0  UN |
|0000000767        |             0  COP|             0  UN |             0  UN |
|0000000778        |             0  COP|             0  UN |             0  UN |
|0000000790        |             0  COP|             0  UN |             0  UN |
|0000000804        |             0  COP|             0  UN |             0  UN |
|0000000815        |             0  COP|             0  UN |             0  UN |
|0000000826        |             0  COP|             0  UN |             0  UN |
|0000000837        |             0  COP|             0  UN |             0  UN |
|0000000848        |             0  COP|             0  UN |             0  UN |
|0000000859        |             0  COP|             0  UN |             0  UN |
|0000000860        |             0  COP|             0  UN |             0  UN |
|0000000871        |             0  COP|             0  UN |             0  UN |
|0000000893        |             0  COP|             0  UN |             0  UN |
|0000000907        |             0  COP|             0  UN |             0  UN |
|0000000918        |             0  COP|             0  UN |             0  UN |
|0000000929        |             0  COP|             0  UN |             0  UN |
|0000000930        |             0  COP|             0  UN |             0  UN |
